#,song_id,echonest_id,date,title,artist,rank,exrank,peak,weeksOn,writer,producer,promotion,tempo,key,loudness,duration,energy,danceability,mode,year
33035,69891,SOIVZYR12AF72A7A05,12/27/1975,Sweet Love,Commodores,82,0,5,23,,,,101.122,1,-10.027,393.89995,0.398897938,0.580417608,1,1975
3498,9132,SOIWXTB12AF729CBC1,12/9/1967,"Bend Me, Shape Me",The American Breed,41,0,5,14,,,n/a,127.824,2,-8.267,129.82812,0.87147336,0.758834776,1,1967
25830,938,SOJACTI12A58A79E99,5/10/1969,One,Three Dog Night,58,0,5,16,,,n/a,123.092,3,-7.587,186.122,0.478120764,0.514862459,1,1969
34310,31632,SOJAUDJ12A67021398,4/3/1999,The Hardest Thing,98 Degrees,60,79,5,24,"S.Kipner,D.Frank","D.Frank,S.Kipner",Universal,87.97,10,-7.269,274.70322,0.344968691,0.70621367,1,1999
30785,123046,SOJBBGI12A8C143839,3/10/1984,Sister Christian,Night Ranger,90,0,5,0,,,,86.382,5,-6.151,309.96853,0.316587269,0.412542825,1,1984
7397,113417,SOJDRDD12B3A1C8420,4/18/1987,Diamonds,Herb Alpert Featuring Janet Jackson,58,84,5,19,"J.Harris III,T.Lewis","J.Jam,T.Lewis",A,111.451,4,-16.965,291.68281,0.898397376,0.893243739,1,1987
33840,17063,SOJEHEM12AB01879E2,8/21/1965,"The ""In"" Crowd",Ramsey Lewis,34,0,5,16,,,n/a,161.117,0,-13.451,157.54404,0.778793664,0.412436116,1,1965
4929,19398,SOJJFGV12AF72A10E8,7/18/1964,C'mon And Swim,Bobby Freeman,58,0,5,12,,,n/a,155.712,5,-11.738,164.25751,0.663207266,0.487921741,1,1964
32581,61106,SOJLMWA12AF72A8DBE,8/12/1978,Summer Nights,"John Travolta,Olivia Newton-John",46,0,5,16,,,,124.32,2,-9.992,216.97261,0.57936983,0.749751999,1,1978
19079,82001,SOJMZBB12AF72A953C,8/15/1970,"Julie, Do Ya Love Me",Bobby Sherman,38,0,5,15,,,,124.191,4,-9.673,174.2624,0.65979256,0.450852727,0,1970
41301,128427,SOJNKPR12AF729F368,5/22/1982,You Should Hear How She Talks About You,Melissa Manchester,76,0,5,25,,,,88.654,4,-12.272,255.242,0.755638065,0.730951421,1,1982
13273,69374,SOJNXDP12AB017F343,10/11/1975,Heat Wave,Linda Ronstadt,18,0,5,13,,,,156.835,2,-13.242,165.11955,0.6798164,0.666423763,1,1975
33990,124806,SOJQLXR12A8C141E23,11/10/1984,The Boys Of Summer,Don Henley,63,0,5,22,"D.Henley,M.Campbell","D.Henley,D.Kortchmar,G.Ladanyi,M.Campbell",Warner Bros.,88.66,6,-10.176,287.63383,0.600937585,0.598897823,1,1984
22969,131918,SOJRUWX12A6D4FA400,9/27/1980,Master Blaster (Jammin'),Stevie Wonder,62,0,5,23,,,,130.946,10,-9.693,290.95138,0.6411846,0.890619349,0,1980
14091,76460,SOJSMAL12A58A7AF70,7/1/1972,Hold Your Head Up,Argent,56,0,5,15,,,,88.743,2,-14.74,375.61424,0.457779354,0.488291057,1,1972
31012,3488,SOJVLXI12AF729C260,10/11/1969,Smile A Little Smile For Me,The Flying Machine,53,0,5,14,,,n/a,85.33,0,-13.011,184.92036,0.355010502,0.569118987,1,1969
26914,110501,SOJXTOJ12AF72A28DE,3/5/1988,Pink Cadillac,Natalie Cole,67,0,5,17,B.Springsteen,D.Lambert,EMI,125.012,5,-10.546,268.7473,0.66960022,0.9043177,0,1988
15020,40108,SOJYGWG12A8C13B545,7/13/1996,I Can't Sleep Baby (If I),R. Kelly,17,0,5,20,"R.Kelly,Babyface",R.Kelly,Jive,132.461,8,-8.24,378.56608,0.188535486,0.363838569,1,1996
23446,102931,SOJZBMS12AF72A51FF,4/14/2001,Missing You,Case,5,37,5,10,"T.Kelley,B.Robinson,J.Thomas,J.P.Thompson",Tim & Bob,IDJMG,86.279,1,-7.299,284.02893,0.53116988,0.618021806,0,2001
23234,112872,SOKCLUG12A6D4F6DC9,1/31/1987,Midnight Blue,Lou Gramm,82,0,5,20,"L.Gramm,B.Turgon","P.Moran,L.Gramm",Atlantic,113.76,0,-6.287,237.50485,0.615280307,0.686585009,1,1987
4063,33955,SOKDZSC12B929F3CC9,2/21/1998,Body Bumpin' Yippie-Yi-Yo,Public Announcement,41,0,5,22,"F.Davis,E.Gray,M.Gray",E.Robinson,A&M,121.986,2,-18.045,270.88934,0.188342175,0.774686305,1,1998
21271,92574,SOKJOPB12A67AD8764,4/16/2005,Lonely,Akon,5,12,5,8,"A.Thiam,B.Vinton,G.Allen",A.Thiam,UMRG,90.119,1,-7.94,235.78077,0.462719706,0.625286334,1,2005
34223,102030,SOKJQAZ12A8C141571,11/30/2002,The Game Of Love,Santana Featuring Michelle Branch,5,7,5,9,"A.Ander,R.Nowels","A.Ander,R.Nowels",,120.161,9,-3.296,260.72771,0.734178783,0.607452056,0,2002
13992,6055,SOKLSUK12A8C135537,10/5/1968,Hold Me Tight,Johnny Nash,38,0,5,15,,,n/a,90.346,3,-10.616,162.87302,0.440382756,0.761623677,0,1968
22714,49526,SOKMWII12AF72A4023,2/29/1992,Make It Happen,Mariah Carey,42,74,5,20,"M.Carey,D.Cole,R.Clivilles","D.Cole,R.Clivilles,M.Carey",Columbia,107.849,2,-8.316,307.06893,0.508864012,0.869125636,1,1992
23163,125024,SOKUIPT12A8C137963,12/15/1984,Method Of Modern Love,Daryl Hall John Oates,50,0,5,19,"D.Hall,J.Allen","D.Hall,J.Oates,B.Clearmountain",RCA,94.131,8,-11.04,329.76934,0.654139095,0.714486468,1,1984
430,39255,SOKUKYK12B3A1A92BC,3/16/1996,"1, 2, 3, 4 (Sumpin' New)",Coolio,35,68,5,21,"A.Ivey,Jr.,A.Sear","J.Carter,Poison Ivey",Tommy Boy,115.21,11,-17.761,198.922,0.761738261,0.921394185,0,1996
30970,95762,SOKZKWB12AF72A56A4,7/3/2004,Slow Motion,Juvenile Featuring Soulja Slim,5,12,5,10,"T.Grey,D.Castillo,J.Tapp",D.Kartel,UMRG,82.827,8,-5.314,248.34567,0.671739777,0.63184445,1,2004
30151,125543,SOLADAW12A6D4F7C28,2/19/1983,She Blinded Me With Science,Thomas Dolby,77,0,5,22,,,5,128.952,9,-9.157,222.77179,0.783541322,0.857749553,1,1983
40321,15142,SOLAOXS12A8C13FF53,12/3/1966,Words Of Love,Mamas & The Papas,81,0,5,12,,,n/a,116.086,1,-9.731,136.28036,0.574521963,0.331950508,1,1966
935,8000,SOLAPQE12A8C140647,7/1/1967,A Whiter Shade Of Pale,Procol Harum,28,0,5,12,,,n/a,147.597,0,-7.497,244.34893,0.479265864,0.193614378,1,1967
33441,24913,SOLBOSV12AF72A9421,9/1/1962,Teen Age Idol,Ricky Nelson,17,0,5,11,,,n/a,117.161,10,-9.47,146.99057,0.433749097,0.61365658,0,1962
30382,130881,SOLGIMY12AF72A46CF,5/3/1980,Shining Star,The Manhattans,81,0,5,25,,,,148.573,9,-11.43,279.64036,0.431166589,0.427577032,1,1980
40068,105763,SOLIJXB12AB018ACC2,5/13/2000,With Arms Wide Open,Creed,84,0,5,23,"M.Tremonti,S.Stapp","J.Kurzweg,R.Saint-Germain",Wind-up,139.426,0,-8.36,274.88608,0.430670887,0.372347378,1,2000
27170,113581,SOLKZDQ12AB01807E0,5/9/1987,Point Of No Return,Expose,68,0,5,17,L.Martinee,L.Martinee,Arista,120.261,4,-9.83,210.80771,0.728774281,0.565269052,0,1987
838,30083,SOLOUCM12A8AE47736,9/5/1960,A Million To One,Jimmy Charles,20,0,5,15,,,n/a,101.788,10,-14.185,153.80853,0.320192969,0.435422555,1,1960
36530,118010,SOLPZSY12AF72A63AD,1/26/1985,Too Late For Goodbyes,Julian Lennon,52,0,5,17,J.Lennon,P.Ramone,Atlantic,122.717,11,-12.405,213.86404,0.565615601,0.857723646,0,1985
4570,33118,SOLQLPD12C0DDBEB4F,10/30/1999,Bring It All To Me,Blaque,63,73,5,29,"B.Lawrence,C.Rooney,V.Ruby,L.Lewis,K.Spencer,W.Shelby,L.Van Horssen,N.Sylvers","L.E.S.,C.Rooney",Columbia,177.697,7,-14.956,210.93832,0.297805621,0.606114597,1,1999
39546,31793,SOLRDLQ12A6D4F94E9,4/24/1999,Who Dat,JT Money Featuring Sole,22,0,5,20,"C.A.Stewart,JT Money,T.Johnston,Tab,D.Davis",C.Stewart,Priority,173.987,7,-5.508,231.88853,0.75253258,0.747787296,1,1999
5015,18129,SOLRIGX12C106D1894,1/25/1964,California Sun,The Rivieras,70,0,5,10,,,n/a,173.278,3,-16.788,142.81098,0.778579462,0.32347079,1,1964
14073,61474,SOLTOZX12AF729FD4C,10/7/1978,Hold The Line,Toto,84,0,5,21,,,,96.138,6,-15.137,235.88526,0.722670393,0.711758685,0,1978
30753,69728,SOLUNPI12A6D4F6BF5,11/29/1975,Sing A Song,"Earth, Wind & Fire",57,0,5,17,,,,131.924,2,-5.91,90.80118,0.855119425,0.767479109,1,1975
6540,7570,SOLWILR12A8C13E6B7,5/6/1967,Creeque Alley,Mamas & The Papas,44,0,5,9,,,n/a,147.102,4,-10.18,229.85098,0.665059447,0.40095842,1,1967
36518,130089,SOMBWGK12AAFF43463,1/19/1980,Too Hot,Kool & The Gang,76,0,5,18,,,,124.589,5,-10.581,571.66322,0.654272514,0.383675165,0,1980
32254,63427,SOMCYBX12AF72A1CC5,7/2/1977,Strawberry Letter 23,The Brothers Johnson,71,0,5,19,,,,181.829,7,-11.442,299.57179,0.732973536,0.649955109,0,1977
7126,17885,SOMLIMM12B20E5E486,12/18/1965,Day Tripper,The Beatles,56,0,5,10,,,n/a,137.613,6,-9.839,169.35138,0.629720289,0.603804338,0,1965
22566,80548,SOMLKEB12C106D2730,1/24/1970,Ma Belle Amie,The Tee Set,83,0,5,12,,,,167.7,7,-19.007,121.57342,0.586396205,0.362329016,1,1970
2492,83378,SOMMAXN12AC90710AD,2/20/2010,Baby,Justin Bieber Featuring Ludacris,25,25,5,3,"T.Nash,C.A.Stewart,J.Bieber,C.Milian,C.Bridges","C.Stewart,T.Nash",SchoolBoy/Raymond Braun/Island,86.702,2,-20.769,222.61506,0.56927897,0.5237804,1,2010
17793,70722,SOMPBPY12A6D4F6E01,4/20/1974,If You Love Me (Let Me Know),Olivia Newton-John,77,0,5,20,,,,129.423,5,-11.85,194.32444,0.655450716,0.51744975,1,1974
37119,122640,SOMPQKN12AF72A15FC,1/14/1984,Twist Of Fate,Olivia Newton-John,5,5,5,16,"S.Kipner,P.Beckett",D.Foster,MCA,164.45,1,-6.477,220.682,0.67515871,0.602183945,0,1984
16206,119693,SOMRBSW12AF72A2A4A,9/21/1985,I Miss You,Klymaxx,74,86,5,29,L.Malsby,"Klymaxx,L.Malsby",MCA,139.904,5,-9.077,331.88526,0.452084845,0.54854433,1,1985
5511,114379,SOMTCKM12AF729D9ED,8/29/1987,Casanova,Levert,45,63,5,18,R.Calloway,R.Calloway,Atlantic,126.55,2,-9.653,370.83383,0.849371436,0.68830443,1,1987
36741,27685,SONAQAM12C0DDC05AA,10/2/1961,Tower Of Strength,Gene McDaniels,84,0,5,13,,,n/a,86.337,2,-19.987,134.922,0.515849089,0.559174559,1,1961
6069,112881,SONCBCV12C0DD04E2B,1/31/1987,Come Go With Me,Expose,56,73,5,19,L.A.Martinee,L.A.Martinee,Arista,120.479,7,-16.612,250.51383,0.643147126,0.483837092,1,1987
32895,88736,SONCHCK12AF72A2A2C,10/25/2008,Swagga Like Us,Jay-Z & T.I. Featuring Kanye West & Lil Wayne,32,31,5,5,"S.C.Carter,C.J.Harris, Jr.,K.West,D.Carter,M.Arulpragasam,N.Headon,M.Jones,J.Mellor,T.Pentz,P.Simonon",K.West,Roc-A-Fella/Def Jam,177.952,4,-5.026,330.16118,0.637544189,0.477447128,1,2008
2823,129859,SONKREQ12AB018566A,12/11/1982,Back On The Chain Gang,The Pretenders,88,0,5,24,,,,153.161,9,-4.619,232.82893,0.71220482,0.5138178,1,1982
25709,68245,SONKURG12A58A7FF4E,5/10/1975,Old Days,Chicago,17,0,5,11,,,,123.701,0,-7.333,209.81506,0.761903253,0.562655329,1,1975
41660,11048,SONLYLS12AB0180E9D,9/9/1967,Your Precious Love,"Marvin Gaye,Tammi Terrell",73,0,5,13,,,n/a,101.336,10,-10.392,181.49832,0.330302833,0.641267253,0,1967
21105,27514,SONQQXD12A58A7645C,9/4/1961,Little Sister,Elvis Presley,15,0,5,13,,,n/a,139.333,2,-14.953,150.56934,0.702253528,0.576587542,1,1961
8468,92895,SONWMUV12A8C144E87,6/4/2005,Don't Phunk With My Heart,The Black Eyed Peas,5,6,5,7,"will.i.am,P.Board,G.Pajon, Jr.,Full Force",will.i.am,Interscope,98.866,1,-3.047,239.85587,0.681467432,0.415473072,1,2005
23570,70371,SOOBJPK12A8C138A0F,3/2/1974,Mockingbird,"Carly Simon,James Taylor",13,0,5,16,,,,114.035,6,-7.562,253.12608,0.705548551,0.784292565,1,1974
27013,71135,SOOGJCF12AF72A6169,6/15/1974,Please Come To Boston,Dave Loggins,76,0,5,18,,,,133.251,4,-11.098,247.90159,0.337445943,0.53335423,1,1974
5780,67626,SOOHCLF12AF72A0B2F,2/8/1975,Chevy Van,Sammy Johns,68,0,5,17,,,,152.001,2,-9.455,174.62812,0.556011974,0.36738233,1,1975
37550,25457,SOOKNLQ12A8C13B988,11/17/1962,Up On The Roof,The Drifters,86,0,5,20,,,n/a,137.914,7,-8.478,127.45098,0.647283581,0.667988395,1,1962
11580,100314,SOONHVN12A8C138C37,4/6/2002,Girlfriend,'N Sync Featuring Nelly,5,6,5,9,"J.Timberlake,C.Hugo,P.Williams",The Neptunes,,125.325,8,-3.773,285.54404,0.768740567,0.81112874,1,2002
13636,100961,SOOQJHF12A8C137315,7/6/2002,Hero,Chad Kroeger Featuring Josey Scott,5,8,5,8,C.Kroeger,C.Kroeger,IDJMG,147.264,4,-4.988,200.56771,0.600944976,0.399257059,1,2002
1827,99642,SOOUIRM12A6D4F794D,1/5/2002,Always On Time,Ja Rule Featuring Ashanti,5,7,5,8,"J.Atkins,S.Aurelius,I.Lorenzo",I.Gotti,IDJMG,87.643,8,-4.136,310.54322,0.973832838,0.698374142,1,2002
7851,62961,SOOWVAR12A58A7AA3B,4/23/1977,Do You Wanna Make Love,Peter McCann,85,0,5,22,,,,112.207,3,-11.569,204.48608,0.389832825,0.582023235,1,1977
4347,127054,SOPELOL12AF72A0B6D,9/17/1983,Break My Stride,Matthew Wilder,94,0,5,29,,,5,110.176,10,-10.689,180.32281,0.625533473,0.881403932,1,1983
7001,14723,SOPGXEG12AB01840DD,10/1/1966,Dandy,Herman's Hermits,89,0,5,11,,,n/a,98.896,2,-12.802,128.41751,0.541985256,0.570706575,1,1966
37321,17982,SOPJTGM12AB0186E84,1/4/1964,"Um, Um, Um, Um, Um, Um",Major Lance,58,0,5,11,,,n/a,117.307,11,-12.054,139.17995,0.570212976,0.780661959,0,1964
11340,1352,SOPKEQH12AF72A1EC3,7/12/1969,Get Together,The Youngbloods,74,0,5,17,,,n/a,103.028,2,-10.836,276.08771,0.504129178,0.56195029,1,1969
4750,88197,SOPKTEV12A8C141E33,8/16/2008,Burnin' Up,Jonas Brothers,11,11,5,6,"N.Jonas,J.Jonas,K.Jonas II",J.Fields,Hollywood,152.023,2,-3.644,174.39302,0.78718785,0.554037483,1,2008
14170,12163,SOPNENY12AF72A3CF9,2/12/1966,Homeward Bound,Simon & Garfunkel,84,0,5,12,,,n/a,93.315,3,-14.89,149.08036,0.392515813,0.473299996,1,1966
7503,43586,SOPTOPP12B0B8095E8,11/18/1995,Diggin' On You,TLC,12,0,5,20,Babyface,Babyface,Arista,160.237,6,-6.688,254.64118,0.476318231,0.697199703,1,1995
40095,109534,SOPUBPV12AF72ABEBC,10/21/1989,With Every Beat Of My Heart,Taylor Dayne,61,0,5,18,"Faragher,Golden,Baker",R.Wake,Arista,121.452,7,-7.273,427.41506,0.83671413,0.682338724,1,1989
11533,5706,SOPWCPP12C106D0001,8/17/1968,Girl Watcher,The O'Kaysions,89,0,5,14,,,n/a,89.834,9,-16.971,154.30485,0.52456538,0.461106432,1,1968
2762,45061,SOQEQRE12A8AE47D4C,6/4/1994,Back ,Aaliyah,10,10,5,24,R.Kelly,R.Kelly,Jive,93.004,2,-7.573,230.63465,0.575299338,0.724661564,0,1994
26596,107684,SOQGVCS12AF72A078D,2/4/1989,Paradise City,Guns N Roses,29,36,5,17,Guns N Roses,M.Clink,Geffen,200.302,11,-6.164,406.36036,0.914902936,0.172423668,1,1989
36412,56275,SOQIHJT12A8C1444DF,10/6/1990,Tom s Diner,DNA Featuring Suzanne Vega,87,0,5,21,S.Vega,"S.Addabbo,L.Kaye",A,137.835,1,-16.208,153.33832,0.307273206,0.562475478,1,1990
2449,122914,SOQIKMN12A8C138D4C,2/18/1984,Automatic,The Pointer Sisters,35,40,5,4,"B.Walsh,M.Goldenberg",R.Perry,Planet,110.761,5,-15.652,286.69342,0.703296231,0.785167371,1,1984
30579,108698,SOQPPZO12AF72A1748,7/1/1989,Shower Me With Your Love,Surface,87,0,5,19,B.Jackson,"D.Conley,D.Townsend,B.Jackson",Columbia,131.222,9,-13.427,293.56363,0.356896708,0.664770078,1,1989
13740,90474,SOQQKNL12B3A138284,6/30/2007,Hey There Delilah,Plain White T's,5,6,5,12,T.Higgenson,A.Rechtschaid,Hollywood,71.682,11,-22.083,220.00281,0.143867735,0.472486144,0,2007
14582,68561,SOQQNCG12AF72A15AA,6/21/1975,How Sweet It Is (To Be Loved By You),James Taylor,86,0,5,15,,,,108.852,7,-13.217,214.20363,0.659443483,0.743215249,1,1975
35268,111037,SOQSXEQ12A8C1394E2,5/21/1988,The Valley Road,Bruce Hornsby & The Range,25,32,5,16,"B.R.Hornsby,J.Hornsby","N.Dorfsman,B.Hornsby",RCA,126.219,9,-5.034,282.40934,0.446139378,0.682343588,1,1988
13167,116927,SOQYQHB12A8C1313FE,8/23/1986,Heartbeat,Don Johnson,67,0,5,15,"E.Kaz,W.Waldman",C.Sandford,Epic,110.083,6,-11.245,260.41424,0.70200543,0.639270647,0,1986
30031,62026,SOQYUQT12AF72A294B,12/23/1978,Shake Your Groove Thing,Peaches & Herb,71,0,5,22,,,,132.594,2,-6.836,346.27873,0.683030784,0.884545836,1,1978
9947,104187,SOQYWVH12AF72A18A2,10/6/2001,Family Affair,Mary J. Blige,5,8,5,11,"M.J.Blige,P.A.Pierre-Louis,L.N.Lodge,B.Miller,A.Young,C.Kambon,M.Elizondo,M.Bradford",Dr. Dre,MCA,123.99,11,-5.329,471.562,0.545765647,0.814103006,0,2001
41522,39507,SOQZTCD12A8BEEEE93,4/20/1996,You're The One,SWV,9,0,5,20,"Allstar,A.Martin,I.Matias,T.Johnson,C.Gamble","A.``Allstar''Gordon,Jr.",RCA,94.149,1,-7.681,281.99138,0.593539848,0.78181762,0,1996
26750,18651,SOREHCM12B0B808ECF,4/4/1964,People,Barbra Streisand,100,0,5,19,,,n/a,43.028,9,-15.516,221.1522,0.144124319,0.185556775,1,1964
17142,131805,SORGPJD12AF72A34D0,9/13/1980,I'm Coming Out,Diana Ross,76,0,5,23,,,,73.43,5,-8.015,319.99955,0.854156656,0.706408303,1,1980
4801,14297,SORPDIG12C0DDBE085,8/6/1966,Bus Stop,The Hollies,58,0,5,14,,,n/a,136.705,4,-20.782,174.39302,0.581761965,0.623872604,0,1966
1436,31334,SORPQBR12AB0182720,2/20/1999,All I Have To Give,Backstreet Boys,6,6,5,21,Full Force,Full Force,Jive,96.006,1,-7.205,276.71465,0.360184725,0.73283469,1,1999
9642,75444,SORPSWC12AF72A281E,2/12/1972,Everything I Own,Bread,28,0,5,13,,,,161.542,9,-13.457,186.53995,0.39089264,0.361844155,1,1972
15971,69524,SORSDRP12AF72A8212,11/1/1975,I Love Music (Part 1),The O'Jays,70,0,5,17,,,,129.851,0,-10.369,214.41261,0.765368022,0.670132714,0,1975
24720,80350,SORUDGA12AB018CE8E,12/25/1971,Never Been To Spain,Three Dog Night,81,0,5,12,,,,94.912,2,-8.265,253.07383,0.729790582,0.433707078,1,1971
22722,34773,SORWWVR12C106D1785,6/27/1998,Make It Hot,"Nicole Featuring Missy ""Misdemeanor"" Elliott ",20,0,5,23,M.Elliott,Timbaland,EEG,168.051,7,-17.63,220.65587,0.529534783,0.724043042,1,1998
41127,27476,SORYGPT12AF72A3F3A,9/4/1961,You Must Have Been A Beautiful Baby,Bobby Darin,67,0,5,11,,,n/a,134.589,7,-15.484,131.7873,0.696011276,0.661612552,1,1961
25326,122696,SORZLKN12B0B8079E2,1/21/1984,Nobody Told Me,John Lennon,36,0,5,6,J.Lennon,Not Listed,PolyGram,117.657,2,-5.023,211.35628,0.723776648,0.535278398,1,1984
2498,28490,SOSAYVQ12AF72A6C18,1/25/1960,Baby (You've Got What It Takes),"Dinah Washington,Brook Benton",79,0,5,15,,,n/a,133.483,10,-14.453,166.55628,0.682851749,0.556092965,0,1960
39361,76316,SOSBGAT12C106D1A79,6/10/1972,Where Is The Love,"Roberta Flack,Donny Hathaway",68,0,5,13,,,,115.115,8,-20.933,161.33179,0.379671818,0.582842037,1,1972
25801,130127,SOSENSU12AF72A6C8C,1/19/1980,On The Radio,Donna Summer,49,0,5,17,,,,127.516,7,-14.442,241.57995,0.425548762,0.744432414,1,1980
16229,101073,SOSEXHN12A67ADEA29,7/20/2002,I Need A Girl (Part Two),"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",5,9,5,7,"M.Winans,S.Combs,C.Hawkins,M.C.Jones,F.Romano,A.Shropshire","M.Winans,S.Combs",Arista,89.302,3,-5.4,268.87791,0.684167472,0.720183975,0,2002
27231,93282,SOSFLXM12A6701DDE7,7/23/2005,Pon de Replay,Rihanna,5,9,5,7,"V.Nobles,A.Brooks,E.Rogers,C.Sturken","V.Nobles,E.Rogers,C.Sturken",IDJMG,127.995,7,-12.812,407.24853,0.789310415,0.871723802,1,2005
31839,126303,SOSIPFF12AB01853C6,6/4/1983,Stand Back,Stevie Nicks,60,0,5,19,,,5,115.265,11,-8.977,297.1424,0.762479211,0.567136863,0,1983
31509,53166,SOSMQGI12AB01852FE,7/27/1991,Something To Talk About,Bonnie Raitt,69,83,5,20,S.Eikhard,"D.Was,B.Raitt",Capitol,102.737,4,-12.953,227.65669,0.582604117,0.811328965,0,1991
35706,68902,SOSPRFZ12A8C13C2CF,8/9/1975,They Just Can't Stop It the (Games People Play),Spinners,82,0,5,18,,,,152.968,2,-11.935,211.51302,0.453538816,0.699120169,1,1975
37282,104481,SOSQRCS12A58A782C0,11/17/2001,U Got It Bad,Usher,5,6,5,9,"U.Raymond,J.Dupri,B.M.Cox","J.Dupri,B.M.Cox",Arista,123.938,1,-4.773,247.92771,0.39371059,0.789595822,1,2001
5192,71551,SOSRMYE12A6701C070,8/17/1974,Can't Get Enough,Bad Company,70,0,5,15,,,,126.441,0,-7.475,254.48444,0.751852467,0.696319184,1,1974
26558,88283,SOSSBDU12AF729E507,8/23/2008,Paper Planes,M.I.A.,5,16,5,4,"M.Arulpragasam,Diplo,J.Strummer,M.Jones,P.Simonon,T.Headon",Diplo,XL,94.944,2,-5.826,349.64853,0.600617596,0.744826323,1,2008
38081,126297,SOSSSWF12A58A77D14,6/4/1983,Wanna Be Startin' Somethin',Michael Jackson,22,0,5,15,,,5,213.911,9,-5.459,343.35302,0.785515579,0.661519281,1,1983
273,4486,SOSTCDM12A8C134870,3/2/1968,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,31,0,5,12,,,n/a,117.249,10,-9.168,145.50159,0.592710611,0.710908868,1,1968
28137,52311,SOSXVNU12AF729D109,3/23/1991,Rhythm Of My Heart,Rod Stewart,40,53,5,18,"M.Jordan,J.Capek",Not Listed,Warner Bros.,95.033,1,-9.052,255.79057,0.550222741,0.577364899,1,1991
18262,98782,SOSYUEJ12AF72A372C,8/30/2003,Into You,Fabolous Featuring Tamia Or Ashanti,5,6,5,12,"J.Jackson,E.Shaw,K.Hill,T.Kelley,B.Robinson,L.Richie,R.LaPread,T.Washington","DJ Clue,DURO",EEG,182.02,7,-7.973,294.16444,0.459374823,0.586328165,0,2003
2025,118647,SOTENMR12AB018465F,4/27/1985,Angel,Madonna,48,0,5,17,"Madonna,S.Bray",N.Rodgers,Warner Bros.,133.23,0,-4.566,235.93751,0.578130685,0.729545388,1,1985
7688,83984,SOTFACV12C106CA4B0,10/2/2010,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,5,6,5,10,"Max Martin,Shellback,S.Kotecha,A.C.Perez","Max Martin,Shellback",LaFace,120.053,7,-17.5,221.51791,0.651040488,0.649172689,0,2010
5675,40146,SOTQLCR12A6D4F97C9,7/20/1996,"Change The World (From ""Phenomenon"")",Eric Clapton,9,0,5,43,"T.Sims,G.Kennedy,W.Kirkpatrick",Babyface,Reprise,107.3,9,-8.483,382.51057,0.567626934,0.60501665,1,1996
35497,26691,SOTTBCP12C0DDC018F,5/15/1961,The Writing On The Wall,Adam Wade,77,0,5,11,,,n/a,123.36,2,-18.529,148.94975,0.42674704,0.557902985,1,1961
19139,35969,SOTVSTR12AF72A2FF4,12/12/1998,Jumper,Third Eye Blind,16,16,5,32,S.Jenkins,S.Jenkins,EEG,91.106,9,-9.338,272.24771,0.493811968,0.629872868,0,1998
440,5518,SOTYOOP12A8C13B297,7/27/1968,"1, 2, 3, Red Light",1910 Fruitgum Co.,84,0,5,13,,,n/a,115.205,3,-6.45,128.15628,0.570709338,0.787337314,1,1968
9230,86051,SOUCMUI12AB018C0C6,10/17/2009,Empire State Of Mind,Jay-Z + Alicia Keys,10,10,5,4,"S.C.Carter,A.Shuckburgh,J.Sewell-Ulepic,A.Hunte,A.Keys,B.Keyes,S.Robinson","Shux,J.Sewell-Ulepic,A.Hunte",Roc Nation,92.561,6,-8.817,216.47628,0.248884796,0.299899082,1,2009
37906,14608,SOUDOSU12AF729C84E,9/17/1966,Walk Away Renee,The Left Banke,58,0,5,13,,,n/a,118.013,9,-11.963,163.05587,0.455245656,0.480068565,1,1966
30214,50824,SOUFZCF12AF72A5A14,8/29/1992,She s Playing Hard To Get,Hi-Five,19,28,5,20,"T.Allen,W.Walton",T.Allen,RCA,99.971,6,-6.421,275.22567,0.658096309,0.693999062,1,1992
26785,25665,SOUGOTB12B5E4D99FA,12/15/1962,Pepino The Italian Mouse,Lou Monte,37,0,5,10,,,n/a,125.629,8,-16.85,156.62975,0.539581806,0.772089936,1,1962
262,126748,SOUGQEX12A8C13B073,8/6/1983,(She's) Sexy + 17,Stray Cats,51,0,5,15,,,5,127.604,11,-10.369,127.05914,0.654096785,0.537814697,0,1983
11803,119165,SOUJGNR12AF72A259A,7/6/1985,Glory Days,Bruce Springsteen,11,17,5,18,B.Springsteen,"B.Springsteen,J.Landau,C.Plotkin,S.Van Zandt",Columbia,117.143,9,-6.902,228.07465,0.828363046,0.554883118,1,1985
21354,72512,SOUMKIP12AB0180E94,12/28/1974,Lonely People,America,77,0,5,14,,,,168.234,7,-10.548,154.122,0.473669264,0.407898038,1,1974
40374,118646,SOUQZOX12AF72A6335,4/27/1985,Would I Lie To You?,Eurythmics,62,0,5,19,"Lennox,Stewart",D.A.Stewart,RCA,132.184,2,-4.422,294.76526,0.789650801,0.521277631,1,1985
36250,12261,SOURHPS12A58A78926,2/26/1966,Time Won't Let Me,The Outsiders,97,0,5,15,,,n/a,146.661,9,-12.332,169.35138,0.669337922,0.594171392,1,1966
10909,18295,SOURQTJ12AF72A7168,2/15/1964,"Fun, Fun, Fun",The Beach Boys,69,0,5,11,,,n/a,156.733,3,-14.316,124.682,0.7369913,0.507595373,1,1964
